,date, pm25, pm10
481,2019-06-13, 77, 66
482,2019-06-14, 83, 59
483,2019-06-15, 82, 62
484,2019-06-16, 89, 56
485,2019-06-17, 88, 35
486,2019-06-18, 66, 45
487,2019-06-19, 78, 59
488,2019-06-20, 64, 34
489,2019-06-21, 58, 16
490,2019-06-22, 46, 21
491,2019-06-23, 50, 27
492,2019-06-24, 51, 23
493,2019-06-25, 52, 45
494,2019-06-26, 68, 26
495,2019-06-27, 53, 39
496,2019-06-28, 73, 37
497,2019-06-29, 70, 40
498,2019-06-30, 73, 42
499,2019-02-08, 67, 
500,2019-02-09, 56, 
501,2019-02-10, 104, 
502,2019-02-11, 105, 
503,2019-02-12, 120, 
504,2019-02-13, 113, 
505,2019-02-14, 142, 
506,2019-02-15, 122, 
507,2019-02-16, 76, 
508,2019-02-17, 69, 
509,2019-02-18, 81, 
510,2019-02-19, 84, 
511,2019-02-20, 93, 
512,2019-02-21, 100, 
513,2019-02-22, 109, 
514,2019-02-23, 94, 
515,2019-02-24, 102, 
516,2019-02-25, 74, 
517,2019-02-26, 75, 
518,2019-02-27, 64, 
519,2019-02-28, 47, 
520,2019-03-01, 77, 
521,2019-03-02, 92, 
522,2019-03-03, 97, 
523,2019-03-04, 92, 
524,2019-03-05, 76, 
525,2019-03-06, 72, 
526,2019-03-07, 72, 
527,2019-03-08, 91, 
528,2019-03-11, 75, 
529,2019-03-12, 88, 
530,2019-03-13, 94, 
531,2019-03-14, 88, 
532,2019-03-15, 74, 
533,2019-03-16, 74, 
534,2019-03-17, 87, 
535,2019-03-18, 83, 
536,2019-03-19, 90, 
537,2019-03-20, 77, 
538,2019-03-21, 68, 
539,2019-03-22, 76, 
540,2019-03-23, 98, 
541,2019-03-24, 133, 
542,2019-03-25, 131, 
543,2019-03-26, 52, 
544,2019-03-27, 47, 
545,2019-03-28, 62, 
546,2019-03-29, 78, 
547,2019-03-30, 78, 
548,2019-03-31, 57, 
549,2018-10-01, 83, 47
550,2018-10-02, 84, 46
551,2018-10-03, 83, 46
552,2018-10-04, 85, 48
553,2018-10-05, 88, 48
554,2018-10-06, 87, 49
555,2018-10-07, 83, 
556,2018-10-09, 91, 
557,2018-10-12, 68, 35
558,2018-10-13, 61, 39
559,2018-10-14, 69, 46
560,2018-10-15, 86, 46
561,2018-10-16, 94, 47
562,2018-10-17, 100, 
563,2018-10-23, 96, 
564,2018-10-30, 64, 
565,2018-11-10, 84, 
566,2018-11-12, 135, 
567,2018-11-18, 131, 62
568,2018-11-19, 146, 63
569,2018-11-20, 153, 60
570,2018-11-21, 153, 53
571,2018-11-22, 152, 
572,2018-08-20, 58, 24
573,2018-08-21, 44, 23
574,2018-08-22, 39, 15
575,2018-08-23, 34, 14
576,2018-08-24, 31, 12
577,2018-08-25, 35, 28
578,2018-08-26, 50, 15
579,2018-08-27, 32, 14
580,2018-08-28, 38, 20
581,2018-08-29, 44, 16
582,2018-08-30, 40, 16
583,2018-08-31, 38, 19
584,2018-09-01, 42, 13
585,2018-09-02, 32, 27
586,2018-09-03, 48, 28
587,2018-09-04, 50, 39
588,2018-09-05, 61, 26
589,2018-09-06, 54, 24
590,2018-09-07, 39, 23
591,2018-09-08, 43, 32
592,2018-09-09, 57, 22
593,2018-09-10, 47, 30
594,2018-09-11, 56, 27
595,2018-09-12, 55, 26
596,2018-09-13, 51, 35
597,2018-09-14, 67, 34
598,2018-09-15, 62, 32
599,2018-09-16, 64, 38
600,2018-09-17, 67, 35
601,2018-09-18, 62, 39
602,2018-09-19, 65, 39
603,2018-09-20, 67, 22
604,2018-09-21, 49, 20
605,2018-09-22, 45, 30
606,2018-09-23, 52, 37
607,2018-09-24, 64, 43
608,2018-09-25, 74, 36
609,2018-09-26, 69, 37
610,2018-09-27, 67, 42
611,2018-09-28, 72, 42
612,2018-09-29, 76, 45
613,2018-09-30, 79, 50
614,2017-04-08, 68, 47
615,2017-04-10, 137, 72
616,2017-04-11, 157, 83
617,2017-04-12, 168, 
618,2017-04-16, 107, 
619,2017-04-17, 100, 41
620,2017-04-18, 110, 47
621,2017-04-19, 123, 45
622,2017-04-20, 121, 34
623,2017-04-21, 95, 34
624,2017-04-22, 93, 28
625,2017-04-23, 73, 32
626,2017-04-24, 84, 45
627,2017-04-25, 105, 49
628,2017-04-26, 108, 54
629,2017-04-27, 117, 58
630,2017-04-28, 136, 47
631,2017-04-29, 155, 44
632,2017-05-09, 65, 35
633,2017-05-10, 86, 37
634,2017-05-11, 93, 36
635,2017-05-12, 94, 24
636,2017-05-13, 67, 23
637,2017-05-14, 70, 27
638,2017-05-15, 79, 33
639,2017-05-16, 89, 18
640,2017-05-17, 61, 
641,2017-05-18, 80, 
642,2017-05-19, 78, 52
643,2017-05-20, 97, 40
644,2017-05-21, 95, 30
645,2017-05-22, 78, 36
646,2017-05-23, 88, 36
647,2017-05-24, 86, 40
648,2017-05-25, 96, 48
649,2017-05-26, 111, 
650,2017-06-01, 62, 
651,2017-06-02, 81, 
652,2017-01-02, 134, 47
653,2017-01-03, 118, 66
654,2017-01-04, 149, 63
655,2017-01-05, 145, 53
656,2017-01-06, 129, 58
657,2017-01-07, 140, 61
658,2017-01-08, 144, 71
659,2017-01-09, 156, 65
660,2017-01-10, 149, 80
661,2017-01-11, 152, 
662,2017-01-13, 140, 66
663,2017-01-14, 155, 66
664,2017-01-15, 157, 71
665,2017-01-16, 156, 63
666,2017-01-17, 147, 71
667,2017-01-18, 157, 65
668,2017-01-19, 144, 71
669,2017-01-20, 151, 70
670,2017-01-21, 155, 68
671,2017-01-22, 156, 66
672,2017-01-23, 157, 68
673,2017-01-24, 157, 67
674,2017-01-25, 153, 67
675,2017-01-26, 149, 49
676,2017-01-27, 123, 34
677,2017-01-28, 93, 56
678,2017-01-29, 138, 55
679,2017-01-30, 152, 47
680,2017-01-31, 126, 49
681,2017-02-01, 125, 68
682,2017-02-02, 156, 62
683,2017-02-03, 150, 68
684,2017-02-04, 157, 
685,2017-02-07, 136, 63
686,2017-02-08, 148, 61
687,2017-02-09, 142, 46
688,2017-02-10, 115, 60
689,2017-02-11, 142, 61
690,2017-02-12, 143, 62
691,2017-02-13, 143, 61
692,2017-02-14, 144, 67
693,2017-02-15, 158, 67
694,2017-02-16, 157, 68
695,2017-02-17, 157, 64
696,2017-02-18, 153, 67
697,2017-02-19, 158, 69
698,2017-02-20, 158, 62
699,2017-02-21, 141, 70
700,2017-02-22, 150, 63
701,2017-02-23, 138, 61
702,2017-02-24, 138, 64
703,2017-02-25, 160, 
704,2016-12-03, 127, 59
705,2016-12-04, 134, 58
706,2016-12-05, 132, 61
707,2016-12-06, 141, 58
708,2016-12-07, 133, 45
709,2016-12-08, 116, 
710,2016-12-12, 107, 53
711,2016-12-13, 127, 54
712,2016-12-14, 130, 45
713,2016-12-15, 115, 57
714,2016-12-16, 136, 59
715,2016-12-17, 139, 59
716,2016-12-18, 139, 53
717,2016-12-19, 132, 57
718,2016-12-20, 139, 55
719,2016-12-21, 141, 52
720,2016-12-22, 128, 54
721,2016-12-23, 128, 50
722,2016-12-24, 122, 48
723,2016-12-25, 118, 58
724,2016-12-26, 141, 61
725,2016-12-27, 146, 64
726,2016-12-28, 150, 66
727,2016-12-29, 157, 72
728,2016-12-30, 164, 61
729,2016-12-31, 142, 72
730,2017-01-01, 165, 57
731,2024-03-09, , 48
732,2023-07-04, , 10
733,2023-09-21, , 12
734,2019-12-31, , 63
735,2020-01-12, , 51
736,2020-01-30, , 54
737,2020-02-07, , 61
738,2020-02-12, , 62
739,2019-10-02, , 32
740,2019-10-14, , 32
741,2019-10-30, , 36
742,2019-11-03, , 31
743,2019-11-30, , 49
744,2019-12-19, , 35
745,2019-07-04, , 19
746,2019-06-07, , 39
747,2018-10-08, , 39
748,2018-10-11, , 53
749,2018-10-22, , 48
750,2018-10-29, , 60
751,2018-11-09, , 43
752,2018-11-11, , 57
753,2018-11-17, , 58
754,2018-08-19, , 41
755,2017-04-07, , 31
756,2017-04-09, , 61
757,2017-04-13, , 69
758,2017-04-14, , 38
759,2017-04-30, , 39
760,2017-05-01, , 39
761,2017-05-02, , 44
762,2017-05-03, , 46
763,2017-05-04, , 28
764,2017-05-08, , 22
765,2017-01-12, , 57
766,2017-02-06, , 47
767,2016-12-02, , 53
768,2016-12-11, , 47
