date, pm25, pm10
2020/5/29, 42, 14
2020/5/30, 52, 15
2020/5/31, 55, 26
2020/6/1, 77, 17
2020/6/2, 61, 17
2020/6/3, 61, 20
2020/6/4, 69, 11
2020/6/5, 46, 7
2020/6/6, 31, 11
2020/6/7, 43, 7
2020/6/8, 31, 13
2020/6/9, 54, 14
2020/6/10, 50, 15
2020/6/11, 58, 11
2020/6/12, 46, 10
2020/6/13, 44, 7
2020/6/14, 27, 8
2020/6/15, 34, 5
2020/6/16, 22, 6
2020/6/17, 27, 6
2020/6/18, 25, 6
2020/6/19, 25, 
2020/6/23, 59, 12
2020/6/24, 48, 12
2020/6/25, 49, 7
2020/6/26, 30, 9
2020/6/27, 39, 10
2020/6/28, 44, 8
2020/6/29, 32, 13
2020/6/30, 50, 15
2020/1/1, 78, 
2020/1/3, 46, 20
2020/1/4, 69, 22
2020/1/5, 73, 24
2020/1/6, 80, 38
2020/1/7, 109, 55
2020/1/8, 153, 35
2020/1/9, 107, 37
2020/1/10, 111, 31
2020/1/11, 95, 29
2020/1/12, 91, 26
2020/1/13, 84, 29
2020/1/14, 88, 23
2020/1/15, 76, 30
2020/1/16, 96, 18
2020/1/17, 66, 20
2020/1/18, 70, 15
2020/1/19, 59, 17
2020/1/20, 62, 21
2020/1/21, 72, 21
2020/1/22, 69, 19
2020/1/23, 67, 22
2020/1/24, 75, 40
2020/1/25, 120, 42
2020/1/26, 124, 39
2020/1/27, 116, 31
2020/1/28, 96, 26
2020/1/29, 82, 32
2020/1/30, 97, 33
2020/1/31, 101, 33
2020/2/1, 100, 41
2020/2/2, 120, 37
2020/2/3, 109, 39
2020/2/4, 113, 42
2020/2/5, 121, 39
2020/2/6, 114, 41
2020/2/7, 120, 42
2020/2/8, 120, 36
2020/2/9, 107, 32
2020/2/10, 95, 32
2020/2/11, 94, 33
2020/2/12, 96, 36
2020/2/13, 102, 41
2020/2/14, 117, 46
2020/2/15, 133, 54
2020/2/16, 149, 57
2020/2/17, 153, 52
2020/2/18, 147, 54
2020/2/19, 151, 56
2020/2/20, 155, 54
2020/2/21, 150, 22
2020/2/22, 75, 23
2020/2/23, 76, 21
2020/2/24, 71, 17
2020/2/25, 61, 7
2020/2/26, 32, 15
2020/2/27, 56, 21
2020/2/28, 68, 18
2020/2/29, 65, 23
2020/3/1, 76, 19
2020/3/2, 68, 24
2020/3/3, 77, 20
2020/3/4, 68, 22
2020/3/5, 71, 19
2020/3/6, 65, 16
2020/3/7, 60, 11
2020/3/8, 48, 21
2020/3/9, 70, 30
2020/3/10, 91, 31
2020/3/11, 91, 26
2020/3/12, 75, 18
2020/3/13, 63, 17
2020/3/14, 64, 10
2020/3/15, 42, 13
2020/3/16, 49, 28
2020/3/17, 78, 31
2020/3/18, 91, 32
2020/3/19, 95, 34
2020/3/20, 100, 18
2020/3/21, 63, 20
2020/3/22, 69, 15
2020/3/23, 57, 22
